5,101BDE,"101ST Infantry (THREE RED ARROWS) Brigade, 1ST Division, PA"
5,101CO,101ST CONTRACTING OFFICE
5,102BDE,"102ND Infantry (IGSOON) Brigade, 1st  Division, PA"
5,103Bde,"103RD Infantry (HARIBON) Brigade, 1st Division, PA"
5,104BDE,"104th Infantry (SULTAN) Brigade, 1ST Division, PA"
5,10IB,"10TH Infantry (STEADY ON) Battalion, 1st Division, PA"
5,11DRC,"11TH Reconnaissance (KAAKIBAT) Company, 1st Division, PA"
5,12DRC,"12TH Reconnaissance (MAFUERZA) Company, 1ST Division, PA"
5,14DRC,"14TH Reconnaissance (FINDERS) Company, 1ST Division, PA"
5,15DRC,"15TH Reconnaissance  Company, 1ST Division, PA"
5,15IB,"15TH Infantry (MOLAVE WARRIOR) Battalion, 3RD Division, PA   "
5,16FPAO,"16TH Field Public Accountability Office, APAO, PA"
5,16IB,16TH INFANTRY (MAGLILINGKOD) BATTALION
5,18IB,"18TH Infantry (DEO ET PATRIA) Battalion, 1st Division, PA"
5,1ATG,"1st Army Training Group, TRADOC, PA"
5,1CAV,"1ST Cavalry (TAGAPANGUNA) Squadron, MID, PA"
5,1CMOBN,"1ST Civil Military Operations (MAHIGALAON) Battalion, 1st Division, PA"
5,1DENTAL,"1ST Dental Detachment, 1st Division, PA"
5,1DTS,"1ST Division Training Unit, 1st Division, PA"
5,1FAB,"1st Field Artillery (BEAT ‘ EM) Battalion, Army Artillery Regiment, PA"
5,1FSMC,1ST FORWARD SUPPORT MEDICAL COMPANY
5,1MIB,1ST MILITARY INTELIGENCE BATTALION
5,1PED,"1ST Post Engineer Detachment, 1st Division, PA"
5,1SIGBN,"1ST Signal Battalion, Army Signal Regiment (P) PA"
5,21IB,"21ST Infantry (INVINCIBLE) Battalion, 5ID, PA"
5,2MECH,"2ND Mechanize Infantry (MAGBALANTAY) Brigade, MID, PA"
5,32IB,"32ND Infantry (DAREDEVIL) Battalion, 1st Division, PA"
5,35IB,"35TH Infantry (MAKAMANDAG) Battalion, 1st Division, PA"
5,40IB,40TH INFANTRY BATTALION
5,41IB,"41ST Infantry  (PARTNER FOR PEACE) Battalion, 5ID, PA"
5,44IB,"44TH Infantry (AGILE  N’ STABLE ) Battalion, 1st Division, PA"
5,4MECH,"4TH Mechanize Infantry (KALASAG) Battalion, MID, PA"
5,4SFBN,"4TH Special Forces Battalion, SFR, SOCOM, PA"
5,501BDE,"501ST Infantry (VALIANT) Brigade, 5ID, PA"
5,501ST,"501ST INFANTRY (VALIANT) BRIGADE, 5ID, PA"
5,51IB,"51ST Infantry (FUERTE UNO) Battalion, 1st Division, PA"
5,53IB,"53RD Infantry  (MATAPAT) Battalion, 1st Division, PA"
5,55IB,55TH INFANTRY BATTALION
5,5IB,"5TH Infantry (DUTY BOUND) Battalion, 1ST Division, PA"
5,5MECH,"5th  Mechanize Infantry (KAAGAPAY) MID, PA"
5,64IB,64TH INFANTRY (KNIGHTS) BATTALION
5,65IB,65TH INFANTRY (STALWART) BATTALION
5,6SFBn,6TH SPECIAL FORCES (LIONHEART) BATTALION
5,9FAU,9th Field Accounting Unit
5,9FPAO,9TH FIELD PROPERTY ACCOUNTABILITY OFFICE
5,9FSFO,9TH FINANCE SERVICE FIELD OFFICE FINANCE CENTER PHILIPPINE ARMY
5,9FSSU,9TH FIELD SERVICE SUPPORT UNIT
5,9ISU,9TH INTELLIGENCE SECURITY UNIT
5,9RCDG,9TH RESERVE COMMAND
5,ADC,OFFICE OF THE ASSISTANT DIVISION COMMANDER
5,AHO_HHSG,ARMY HOUSING OFFICE
5,AHRO_HHSG,ARMY HUMAN RIGHTS OFFICE
5,APMC,"ARMY PERSONNEL MANAGEMENT CENTER , PA"
5,AREO_HHSG,OFFICE OF THE ARMY REAL ESTATE OFFICE
5,CPO,CIVILIAN PERSONNEL OFFICE
5,DIVHQS,"1ST INFANTRY (TABAK) DIVISION, PHILIPPINE ARMY"
5,DPAO,DIVISION PUBLIC AFFAIRS OFFICE
5,G4IB,64TH INFANTRY (KNIGHTS) BATTALION
